sol,month,min_temp,max_temp
1977,5,-77,-10
1976,5,-77,-10
1975,5,-76,-16
1974,5,-77,-13
1973,5,-78,-18
1972,5,-78,-14
1971,5,-78,-13
1970,5,-77,-16
1969,5,-76,-16
1968,5,-76,-19
1967,5,-76,-15
1966,5,-77,-18
1965,5,-76,-12
1964,5,-76,-16
1963,5,-77,-14
1962,5,-78,-14
1961,5,-77,-21
1960,5,-78,-14
1959,5,-78,-15
1958,5,-77,-14
1957,5,-77,-21
1956,5,-79,-14
1955,5,-77,-21
1954,5,-77,-17
1953,5,-78,-22
1952,5,-80,-25
1951,5,-77,-23
1950,5,-79,-15
1949,5,-78,-20
1948,5,-78,-18
1947,5,-78,-19
1946,5,-79,-20
1945,4,-78,-22
1944,4,-80,-21
1943,4,-78,-28
1942,4,-78,-27
1941,4,-77,-20
1940,4,-77,-19
1939,4,-78,-20
1938,4,-78,-24
1937,4,-80,-22
1936,4,-79,-20
1935,4,-80,-21
1934,4,-79,-21
1933,4,-78,-23
1932,4,-79,-24
1931,4,-79,-22
1930,4,-79,-24
1929,4,-79,-26
1928,4,-78,-24
1927,4,-79,-24
1926,4,-80,-24
1925,4,-79,-19
1924,4,-78,-21
1923,4,-77,-23
1922,4,-79,-24
1921,4,-78,-19
1920,4,-77,-25
1919,4,-77,-26
1918,4,-77,-18
1917,4,-80,-19
1916,4,-79,-22
1915,4,-78,-23
1914,4,-78,-21
1913,4,-79,-27
1912,4,-80,-25
1911,4,-79,-22
1910,4,-80,-23
1909,4,-80,-27
1908,4,-79,-28
1907,4,-79,-29
1906,4,-79,-23
1905,4,-80,-22
1904,4,-79,-27
1903,4,-78,-25
1902,4,-79,-27
1901,4,-81,-28
1900,4,-81,-25
1899,4,-81,-23
1898,4,-81,-27
1897,4,-80,-27
1896,4,-79,-23
1895,4,-78,-29
1894,4,-79,-28
1893,4,-79,-25
1892,4,-81,-29
1891,4,-80,-25
1890,4,-79,-28
1889,4,-80,-28
1888,4,-79,-25
1887,4,-79,-26
1886,4,-79,-27
1885,4,-79,-30
1884,4,-79,-29
1883,4,-78,-28
1882,4,-78,-31
1881,4,-79,-28
1880,3,-79,-30
1879,3,-79,-31
1878,3,-79,-29
1877,3,-79,-30
1876,3,-79,-29
1875,3,-79,-23
1874,3,-80,-29
1873,3,-79,-25
1872,3,-79,-29
1871,3,-80,-30
1870,3,-81,-29
1869,3,-81,-24
1868,3,-80,-24
1867,3,-78,-24
1866,3,-80,-28
1865,3,-80,-31
1864,3,-82,-22
1863,3,-80,-30
1862,3,-81,-30
1861,3,-79,-29
1860,3,-80,-31
1859,3,-79,-30
1858,3,-81,-28
1857,3,-80,-30
1856,3,-80,-28
1855,3,-78,-32
1854,3,-80,-26
1853,3,-80,-32
1852,3,-80,-31
1851,3,-87,-30
1850,3,-80,-30
1849,3,-80,-24
1848,3,-80,-28
1847,3,-80,-30
1846,3,-80,-30
1845,3,-80,-29
1844,3,-81,-28
1843,3,-80,-29
1842,3,-79,-27
1841,3,-77,-32
1840,3,-77,-29
1839,3,-80,-30
1838,3,-79,-27
1837,3,-81,-28
1836,3,-81,-29
1835,3,-80,-31
1834,3,-80,-25
1833,3,-81,-30
1832,3,-84,-30
1831,3,-80,-26
1830,3,-80,-23
1829,3,-78,-29
1828,3,-80,-27
1827,3,-80,-28
1826,3,-80,-26
1825,3,-80,-27
1824,3,-80,-28
1823,3,-80,-28
1822,3,-78,-27
1821,3,-81,-29
1820,3,-79,-29
1819,3,-82,-28
1818,3,-81,-25
1817,3,-80,-29
1816,3,-82,-30
1815,3,-81,-29
1814,2,-80,-26
1813,2,-80,-27
1812,2,-79,-23
1811,2,-79,-25
1810,2,-78,-25
1809,2,-80,-25
1808,2,-79,-26
1807,2,-78,-23
1806,2,-80,-25
1805,2,-78,-27
1804,2,-78,-29
1803,2,-78,-25
1802,2,-79,-26
1801,2,-80,-21
1800,2,-80,-24
1799,2,-78,-24
1798,2,-79,-25
1797,2,-79,-27
1796,2,-80,-23
1795,2,-81,-19
1794,2,-80,-25
1793,2,-80,-22
1792,2,-80,-27
1791,2,-79,-23
1790,2,-81,-22
1789,2,-79,-19
1788,2,-79,-21
1787,2,-79,-26
1785,2,-77,-20
1784,2,-80,-22
1783,2,-79,-23
1782,2,-78,-22
1781,2,-78,-22
1780,2,-77,-20
1779,2,-78,-23
1778,2,-81,-23
1777,2,-79,-22
1776,2,-79,-24
1775,2,-80,-22
1774,2,-79,-18
1773,2,-78,-22
1772,2,-78,-20
1771,2,-79,-22
1770,2,-79,-19
1769,2,-76,-23
1768,2,-78,-22
1767,2,-77,-22
1766,2,-79,-17
1765,2,-77,-20
1764,2,-79,-18
1763,2,-78,-20
1762,2,-77,-20
1761,2,-77,-20
1760,2,-78,-18
1759,2,-77,-20
1758,2,-78,-20
1757,2,-78,-21
1756,2,-78,-23
1755,2,-77,-22
1754,2,-78,-20
1753,2,-76,-16
1752,2,-80,-16
1751,2,-78,-23
1750,2,-77,-17
1749,2,-76,-21
1748,1,-79,-19
1747,1,-79,-16
1746,1,-76,-16
1745,1,-78,-19
1744,1,-78,-22
1743,1,-78,-21
1742,1,-77,-12
1741,1,-78,-18
1740,1,-78,-21
1739,1,-77,-22
1738,1,-78,-22
1737,1,-78,-19
1736,1,-77,-16
